"Aïki Nage";"Kokyu Nage";"Nage Waza";
"Aïki Otoshi";"Irimi Nage";"Nage Waza";
"Gokyo - Ude Nobashi";"Ikkyo - Ude Osae";"Katame Waza";
"Hiki Otoshi";"Kokyu Nage";"Nage Waza";
"Ikkyo - Ude Osae";"Kihon";"Katame Waza";
"Ikkyo Nage";"Ikkyo - Ude Osae";"Nage Waza";
"Irimi Nage";"Kihon";"Nage Waza";
"Juji Garami";"Divers";"Nage Waza";
"Kaiten Nage";"Divers";"Nage Waza";
"Kokyu Nage";"Divers";"Nage Waza";
"Koshi Nage (forme 1)";"Ikkyo - Ude Osae";"Nage Waza";"Pieds UKE-TORI parallèles"
"Koshi Nage (forme 2)";"Divers";"Nage Waza";"Pieds UKE-TORI perpendiculaires"
"Kote Gaeshi";"Divers";"Nage Katame Waza";
"Kubi Nage";"Irimi Nage";"Nage Waza";
"Naname Kokyu Nage";"Irimi Nage";"Nage Waza";
"Nikyo - Kote Mawashi";"Ikkyo - Ude Osae";"Katame Waza";
"Rokyo - Hijikime Osae";"Ikkyo - Ude Osae";"Katame Waza";
"Sankyo - Kote Hineri";"Ikkyo - Ude Osae";"Katame Waza";
"Sankyo Nage";"Ikkyo - Ude Osae";"Nage Waza";
"Shiho Nage";"Kihon";"Nage Katame Waza";
"Soto Kaiten Nage";"Kaiten Nage";"Nage Waza";
"Sumi Otoshi";"Kokyu Nage";"Nage Waza";
"Tenshi Nage";"Irimi Nage";"Nage Waza";
"Uchi Kaiten Nage";"Kaiten Nage";"Nage Waza";
"Ude Kime Nage";"Shiho Nage";"Nage Waza";
"Ushiro Kiri Otoshi";"Irimi Nage";"Nage Waza";
"Ushiro Kubi Shime";"Divers";"Katame Waza";
"Yonkyo - Tebuki Osae";"Ikkyo - Ude Osae";"Katame Waza";
